Name,Fund
CAROLINE CHICK,ACTIVATE CAPITAL
GREG FLEMING,AIR LIQUIDE VENTURES
MARY KING,ALIGNED CAPITAL
BOB WOLF,ANDERSON CORPORATION
DAN SHAFQAT,ANGLO AMERICAN
DANIEL KRIOZERE,ANTHROPOCENE VENTURES
CHRIS HAASE,ARAMCO VENTURES
ERIC YAO,AZOLLA VENTURES
AUGUST FERN,BARUCH FUTURE VENTURES
SUSAN ROHAC,BDC CAPITAL
JASON HANEY,BLACK & VEATCH
CAMERON CARVER,BLACKHORN VENTURES
HAYLEY NYSTROM,BLUE BEAR CAPITAL
ELISABETH MCKENNA,BMO IMPACT INVESTMENT FUND
DANIELA PROSKE,BP VENTURES
SALLY HATCHER,BUFF GOLD VENTURES
LAURA DYER,BUOYANT VENTURES
JOHN MORELLO,BURNHAM STERLING & COMPANY
DAN RADOMSKI,C3 ACCELERATOR
RICHARD PARDOE,CHEVRON TECHNOLOGY VENTURES
NATHAN COLE,CITI IMPACT FUND
WYNSTON REED,CLEAN ENERGY VENTURES
NATE WOLFE,CMS ENERGY
NATE BENDER,CONSTELLATION TECHNOLOGY VENTURES
EVAN GANZ,CONSTELLATION TECHNOLOGY VENTURES
PATRICK CLAESSEN,COTTONWOOD TECHNOLOGY FUND
RICK SMITH,CROSSCUT
GERD GOETTE,CYCLE CAPITAL
RACHEL SLAYBAUGH,DCVC
KATHLEEN JURMAN,DOW
SARA CHAMBERLAIN,EARTH FOUNDRY
ADIL JAFRY,ECOSPHERE VENTURES
CHARLES SIDMAN,ECS CAPITAL PARTNERS
GRAHAM CAREY,EMERALD TECHNOLOGY VENTURES
MICHAEL BRUCE,EMERSON COLLECTIVE
ITARU SHIRAISHI,"ENERGY & ENVIRONMENT INVESTMENT, INC."
WILL LIPSCOMB,ENERGY IMPACT PARTNERS
CRAIG LAWRENCE,ENERGY TRANSITION VENTURES
DEAN SCIORILLO,ENERTECH CAPITAL
AMRIT JALAN,ENI NEXT
SHASHANK CHURUKANTI,EVERGREEN CLIMATE INNOVATIONS
IAN ADAMS,EVERGREEN CLIMATE INNOVATIONS
DREW ROBINSON,EVERGY VENTURES
DARREN LOVE,EVOK INNOVATIONS
JON BONANNO,FACTOR
MICHAEL GILBERT,FAIRSTEAD VENTURES
DAVID NEEDELL,FINE STRUCTURE VENTURES
HENRY CHUNG,FREERUN CAPITAL
PATRICK ELFTMANN,FUTURE ENERGY VENTURES
BENJAMIN GINSBURG,GE VERNOVA
EVALINE TSAI,GIGASCALE CAPITAL
JAY KIM,GS FUTURES
KYUNGJOON LEE,GS FUTURES
ZAINUB NOOR,HALLIBURTON LABS
GREG HUNDT,HALLIBURTON LABS
JIM LOGERFO,HAMILTON CLARK SUSTAINABLE CAPITAL
JESSE JOHSNON,HELIOS CLIMATE VENTURES
ASHLEY BRYAN,HG VENTURES
LARISSA KENNEY,HG VENTURES
AIMEE XU,I SQUARED CAPITAL
PULAKESH MUKHERJEE,IMPERATIVE VENTURES
MIKE FREEMAN,INNOSPHERE VENTURES FUND
MARK GORHAM,INNOSPHERE VENTURES FUND
TOMOHITO SHIBATA,JAPAN ENERGY FUND
PAUL MONROE,JAPAN ENERGY FUND
JUAN ARANGO,KEIRETSU
JESSY RIVEST,KHOSLA VENTURES
HARRISON CHAN,LIME ROCK NEW ENERGY
BRIAN KREMER,MARATHON CAPITAL
YIN LU,MCJ COLLECTIVE
ASAKO VITOUS,MITSUBISHI CANADA
BEN STEINER,MITSUBISHI ELECTRIC POWER PRODUCTS
RYAN MASUMOTO,MITSUBHISI HEAVY INDUSTRY AMERICA
MANAS GOSAVI,MUBADALA CAPITAL
RAGHU MADABUSHI,NATIONAL GRID PARTNERS
JONATHAN GREENE,NEW CLIMATE VENTURES
TOM BLUM,NEW YORK ANGELS
KIRSTEN SUDDATH,NEXT FRONTIER CAPITAL
ASHLYNN HORRAS,NEXUS DEVELOPMENT CAPITAL
TEM TUMURBAT,NOMADIC VENTURE PARTNERS
JASON HOLT,ORION INDUSTRIAL VENTURES
BRANDON HURLBUT,OVERTURE VC
DEREK WILLIS,OXY
CLAIRE YUN,PIVA CAPITAL
OCTAVI SEMONIN,POWERHOUSE VENTURES
FREDERICK CHANG,QOMO
KATHRYN MENG,RA CAPITAL
JOHANNA SCHMIDTKE,REV INNOVATIONS
JESSICA FREYER,RHAPSODY VENTURES
ERIC DANZINGER,RIVERBEND ENERGY GROUP
DANIEL KIM,SABIC VENTURES
ADARSH SOWCAR,SAINT-GOBAIN NOVA
YESIM JONSSON,SHELL
DAVID RAHMANI,SHELL
WILLIE HALSTED,SILICON VALLEY BANK
ALAN KELLEY,SJF VENTURES
HEE S. JUNG,SK DISCOVERY
SANDEEP VERMA,SLB NEW ENERGY
ALAN LEUNG,SOCAL GAS
JOHN SCULL,SOUTHERN CROSS VENTURES
REID CARROLL,SUSTAINABLE FUTURE VENTURES
ADAM WONG,TC ENERGY
ABIGAIL ROZENBLIT,TECHENERGY VENTURES
JOSHUA ERLICHMAN,TDK VENTURES
AARON FYKE,THIN LINE CAPITAL
JAY PATEL,TOYOTA VENTURES
SUBODH GUPTA,VALO VENTURES
SCOTT MEYERS,VENTURE FOR CLIMATE AT NEXTCORPS
KRISHNA SHIVRAM,VERITEC VENTURES
MARC DAVIDSON,VERITEN
JOSEPH GOODMAN,VOLO EARTH VENTURES
RACHAEL FERM,VOLO EARTH VENTURES
MEGAN CAIN,WESTLY GROUP
MARK DRYDEN,WIND VENTURES
ANISH PATEL,YAMAHA MOTOR VENTURES
SHEERAZ HAJI,ZIPDRAGON VENTURES
RYAN SMITH,ZOMA CAPITAL
