"Service Provider","Contact Name",Email,Website,"Primary Phone","Secondary Phone","Street Address",City,State,ZIP,Services,Borough,Certifications/Licenses,"Incentive Program Affiliation","General Description","Market Sectors","Number of Employees","Number of Years in Business","Building Size"
"Accredited Energy Consulting Services LLC","William Shoard",will@accredited-energy.com,https://www.accredited-energy.com,646-369-7804,646-369-7804,"49 West 45th Street, 3rd Floor","New York","New York",10036,"Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Commercial and Industrial (C&I)","Accredited Energy Consulting Services provide energy audits, energy benchmarking and help for building owners to comply with the various energy related local laws in NYC.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",6,12,"Medium (50K-250K sq. ft)"
"Ainsworth Inc. - BP Mechanical Corp.","Marc Platinsky",marc.platinsky@ainsworth.com,https://www.ainsworth.com,718-383-2100,917-731-8613,"83-40 72nd Drive",Glendale,"New York",11385,"Air Sealing/Weatherization, Boiler Services, Building Envelope/Roof Services, Carbon Credit, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Demand Response, EC Motors, Engineering/Design/Modeling, Energy Modeling, Heat Pumps, HVAC, Hydronic Heating, Insulation, Local Law 84, Local Law 87, LL97 A321 (Install), Maintenance, Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Steam Heating, Turnkey Solutions, Ventilation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, Registered Design Professional","Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), NYSERDA Real Time Management Program (RTEM), NYSERDA Clean Heat Program","Ainsworth Inc. is a full-service, 100ML HVAC contractor, in the tristate area, whose construction, service and special projects departments specializes on mechanical system replacement and retrofits with a focus on decarbonization strategies for their clients and customers.

As one of North America’s leading integrated multi-trade companies, we are able to provide all high-quality technical trades services, including HVAC, mechanical, energy services, building and industrial automation for institutional, commercial, and industrial clients across the tri-state area and the North East-US.","Commercial and Industrial",160,47,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"All City Engineering, P.C.","Kyle Xia",kxia@allcityengineering.com,https://www.allcityengineering.com,516-321-9490,917-667-1811,"33 Great Neck Road","Great Neck","New York",11021,"Carbon Credit, Chilled Water Hot Water and Stream Distribution Systems, Domestic Hot Water, EC Motors, Heat Pumps, HVAC, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, LEED AP Interior Design + Construction (LEED AP ID+C), Minority Owned Business Enterprise (MBE), Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Clean Heat Program","All City Engineering specializes in Mechanical, Electrical, Plumbing, Fire Protection, Fire Alarm, Site Connection, Cross Connection, Special Inspection, LL88, LL87 Compliances, Energy Rebates.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",8,14,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Altanova, LLC","Julien Lafond",ll97nyc@altanova.io,https://www.altanova.io,347-410-9049,347-821-0118,"2807 Jackson Avenue, 5th floor","Long Island City","New York",11101,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Demand Response, Engineering/Design/Modeling, EV Charging Station, Geothermal, Green Roof, Heat Pumps, Insulation, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Passive House, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning, Ventilation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Building Operations and Maintenance Training (PON 5357), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA New Construction (Housing PON 4337), NYSERDA Commercial New Construction Program (PON 3609), NYSERDA Clean Heat Program, NYSERDA Clean Heating and Cooling Screenings for Large Buildings","Altanova is a sustainability consulting firm that partners with developers and institutions to deliver lasting High-Performance Building Design advisory for existing and new construction projects. Since 2006, we have consulted on over 500 sustainable projects, including a NYSERDA Buildings of Excellence award-winning passive high-rise. Our team of sustainability strategists and engineering consultants delivers innovative solutions matching the needs of both streamlined and ambitious projects. We offer comprehensive support for Local Law compliance, including LL84, LL87, LL88, and LL97 performance and prescriptive pathways, across affordable, market-rate, and multifamily and commercial properties. Our services cover energy audits, commissioning, retro-commissioning, energy modeling, decarbonization planning, carbon benchmarking, and utility reviews. With expertise in ASHRAE Levels I–III, LEED, WELL, FitWel, and Enterprise Green Community Criteria, we help clients navigate regulations, achieve energy savings, optimize incentives, and drive sustainable building operations","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",9,18,"Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"AMA ARCHITECTS PC","Amath T. Ba",aba@amarchitectspc.com,https://www.amarchitectspc.com,212-931-1042,914-393-6275,"2548 Frederick Douglass Blvd, Suite #1","New York","New York",10003,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Building Representatives, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Green Roof, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional",,"AMA Architects PC specializes in sustainable architecture and building envelope efficiency, focusing on energy-efficient design, resilience planning, and compliance with environmental regulations like LL97. We provide comprehensive services from initial assessments and energy audits to design, project management, and implementation of sustainability measures. Our approach integrates innovative solutions to enhance building performance, reduce carbon footprint, and achieve energy savings, supporting clients through every step of their sustainability journey. Also offers mechanical/MEP, LL84, LL87. Architecture, Engineering.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",4,2,"Medium (50K-250K sq. ft)"
"AP Consulting Engineers, DPC","Nicolay Aronov",info@ap-consultingengineers.com,https://www.ap-consultingengineers.com,516-678-3132,347-605-6877,"514 Meacham Avenue",Elmont,"New York",11003,"Audits/Study/Consultant, Boiler Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Heat Pumps, HVAC, Hydronic Heating, Lighting, Local Law 84, Local Law 87, LL97, Mechanical/MEP, Packaged Terminal Air, Steam Heating, Turnkey Solutions, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYS Affordable Multifamily Energy Efficiency (AMEEP)","AP Consulting Engineers offers MEP, lighting, life safety, energy design services and specific AEC solutions to provide building owners with innovation and modernization for their properties while adhering to NYC local laws. We streamline the design and construction process to ensure a smooth project delivery. Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97),","Commercial and Industrial, Institutional, Multifamily Market Rate",5,2,"Large (250K+ sq. ft)"
"Association of Energy Affordability, Inc.","Pedro L. Barry",pbarry@aeacleanenergy.org,https://aea.us.org,718-292-6733,718-778-2229,"105 Bruckner Boulevard",Bronx,"New York",10454,"Air Sealing/Weatherization, Audits/Study/Consultant, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Domestic Hot Water, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, Heat Pumps, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Master Venting, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Turnkey Solutions, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens","Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Clean Heat Program","Association for Energy Affordability, Inc. performs ASHRAE Level 2 Energy Audits that will meet or exceed Local Law 87 requirements. The energy audit will primarily focus on base building systems and will be performed under supervision of a Professional Engineer (PE), Certified Energy Manager (CEM), and/or Building Performance Institute (BPI) certified Building Analyst. As part of the Energy Audit Scope of Services, Associate for Energy Affordability will prequalify buildings for a viable utility program, conduct an onsite walk-through, review base building mechanical system design and condition, and follow through on the entire process of the project for the customer.  Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97),","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",75,30,"Medium (50K-250K sq. ft)"
"Atlas Builders LLC","Allison Shipper",allison@theatlasbuilders.com,https://www.theatlasbuilders.com,917-721-6773,908-838-5378,"216 East 45th St., FL 13","New York","New York",10017,"Air Sealing/Weatherization, Architecture, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Building Representatives, Carbon Credit, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Electrification Feasibility Assessments, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, General Contractor, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Oil Switching, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Roofing, Roof Insulation, Steam Heating, Turnkey Solutions, Ventilation, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","General Contractor License, LEED AP Interior Design + Construction (LEED AP ID+C), Registered Design Professional, Women Owned Business Enterprise (WBE)","Con Edison Multifamily Program (MFEEP), National Grid Multifamily Program, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA NY-Sun Program, NYSERDA Clean Heat Program","Atlas Builders is a full-service owner's representation and construction management firm. The company offers predevelopment, feasibility, reconstruction planning, design and engineering coordination, incentive procurement and project management, expediting coordination, critical path scheduling construction management, and general construction services. Atlas Builders self-performs concrete, demolition, and steel and carpentry operations with dedicated in-house crews.  LL11, LL84, LL87, L88, LL97, LL133. Cool Roof.","Affordable Housing, Commercial and Industrial, Multifamily Market Rate, Small-Medium Businesses",15,11,"Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Bazini Engineering, PC","Joseph D. Bazini",joe@baziniengineering.com,http://www.baziniengineering.com,516-502-4837,516-642-6324,"514 Meacham Avenue",Elmont,"New York",11003,"Audits/Study/Consultant, Boiler Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Engineering/Design/Modeling, Energy Modeling, Expediting, Heat Pumps, HVAC, Hydronic Heating, Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Steam Heating, Turnkey Solutions, Ventilation, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Special Electrician License",,"Bazini Engineering, PC, is a full MEP Engineering firm that specializes in all aspects of Mechanical Engineering Design in NYC. We specialize in providing comprehensive array of mechanical engineering services. Our firm can collaborate seamlessly with clients from various building types, including multifamily, commercial, industrial, institutional, data centers, healthcare, and hospitality. Our team has the depth of experience required to design various systems such as steam and hydronic boiler systems, ventilation systems, HVAC systems, commercial kitchen systems and more. We're also fully equipped to design boiler plants, chimney systems, emergency generators, domestic hot water systems, pumps, fuel oil storage systems, burner retrofits, and boiler and burner oil to gas conversion. Bazini Engineering, PC can also help assist building managers, owners and Installers through NYC's ever-changing rules and requirements of Local Law 97.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",7,14,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Bright Energy Services","Bonnie Hagen",bonnie@brightenergyservices.com,http://www.brightenergyservices.com,347-470-7090,914-426-1376,"75 South Broadway, 4th Floor","White Plains","New York",10601,"Air Sealing/Weatherization, Audits/Study/Consultant, Controls/Energy Management Systems, EC Motors, Electrical/Lighting Contractor, Elevator/Motors, Energy Modeling, Equipment Vendor/Manufacturer, EV Charging Station, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, Pipe Insulation, Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens","Electrician License, LEED AP Building Design + Construction (LEED AP BD+C), Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), NYSERDA Charge Ready NY Program, NYSERDA Clean Heat Program","Bright Energy Services is an award-winning energy efficiency contracting firm. We help owners/managers of large buildings (multi-family, commercial, industrial, institutional) save money by saving energy. Our projects have resulted in hundreds of millions of dollars in value to clients in the form of reduced utility costs and the securing of financial incentives / rebates.

Our services include:
* NYC Local Law / Energy Code Compliance
* LED Lighting & Controls
* Electric Vehicle Charging Stations
* HVAC / Refrigeration
* Solar
* Pipe Insulation
* Weatherization
* Energy and Financial Analysis
* More . . . .

Our services allow our clients to cut energy costs, meet regulatory requirements, manage their emission portfolios, deploy the latest energy efficient technologies, and reduce their carbon footprints.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",20,16,"Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
